raw_venue,raw_city,match_count,sample_match_id,sample_date,proposed_canonical_venue,proposed_canonical_city,proposed_country,needs_review,notes
"Shere Bangla National Stadium, Mirpur",Dhaka,303,81,2018-02-15,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,FALSE,
Dubai International Cricket Stadium,Dubai,180,312,2019-10-24,Dubai International Cricket Stadium,Dubai,United Arab Emirates,FALSE,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,134,155,2019-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat,Oman,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,123,455,2021-04-17,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,FALSE,
"Edgbaston, Birmingham",Birmingham,115,605,2022-07-09,"Edgbaston, Birmingham",Birmingham,England,FALSE,
Sylhet International Cricket Stadium,Sylhet,110,128,2018-12-17,"Sylhet International Cricket Stadium, Academy Ground",Sylhet,Bangladesh,FALSE,
"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,99,1295,2023-07-26,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
Dubai International Cricket Stadium,,99,21,2016-09-23,Dubai International Cricket Stadium,Dubai,United Arab Emirates,FALSE,city filled from sibling rows (Dubai)
Udayana Cricket Ground,Bali,98,1490,2023-11-20,Udayana Cricket Ground,Bali,Indonesia,FALSE,
"Terdthai Cricket Ground, Bangkok",Bangkok,96,1552,2024-01-27,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,FALSE,
Sharjah Cricket Stadium,Sharjah,93,554,2021-10-22,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,FALSE,
"The Rose Bowl, Southampton",Southampton,93,433,2021-06-26,"The Rose Bowl, Southampton",Southampton,England,FALSE,
"Kennington Oval, London",London,92,1327,2024-05-30,"Kennington Oval, London",London,England,FALSE,
Adelaide Oval,Adelaide,88,170,2019-10-27,Adelaide Oval,Adelaide,Australia,FALSE,
"Gahanga International Cricket Stadium, Rwanda",Kigali City,88,1143,2022-12-13,"Gahanga International Cricket Stadium, Rwanda",Kigali,Rwanda,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"Gaddafi Stadium, Lahore",Lahore,85,714,2022-04-05,"Gaddafi Stadium, Lahore",Lahore,Pakistan,FALSE,
Sheikh Zayed Stadium,Abu Dhabi,85,23,2016-09-27,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,FALSE,DO:merge prefix of 'Sheikh Zayed Stadium Nursery 1' — verify whether to merge or keep separate
Eden Gardens,Kolkata,84,141,2018-11-04,"Eden Gardens, Kolkata",Kolkata,India,FALSE,
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,83,546,2021-10-18,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,FALSE,
"Headingley, Leeds",Leeds,81,421,2021-07-18,"Headingley, Leeds",Leeds,England,FALSE,
"Trent Bridge, Nottingham",Nottingham,80,420,2021-07-16,"Trent Bridge, Nottingham",Nottingham,England,FALSE,
Wankhede Stadium,Mumbai,80,78,2017-12-24,"Wankhede Stadium, Mumbai",Mumbai,India,FALSE,
Gahanga International Cricket Stadium. Rwanda,Kigali City,77,533,2021-08-18,"Gahanga International Cricket Stadium, Rwanda",Kigali,Rwanda,FALSE,"country unknown — please fill; pre-filled by user, confirmed; punctuation collision — merged into canonical"
"Old Trafford, Manchester",Manchester,77,422,2021-07-20,"Old Trafford, Manchester",Manchester,England,FALSE,
"Sophia Gardens, Cardiff",Cardiff,76,431,2021-06-23,"Sophia Gardens, Cardiff",Cardiff,Wales,FALSE,
"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,76,1169,2023-03-09,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,FALSE,
"R Premadasa Stadium, Colombo",Colombo,75,462,2021-07-25,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,FALSE,
"Kingsmead, Durban",Durban,74,1218,2023-08-30,"Kingsmead, Durban",Durban,South Africa,FALSE,
M Chinnaswamy Stadium,Bangalore,74,18,2017-02-01,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,FALSE,city alias: Bangalore→Bengaluru
"Hagley Oval, Christchurch",Christchurch,71,978,2022-10-07,"Hagley Oval, Christchurch",Christchurch,New Zealand,FALSE,
Edgbaston,Birmingham,70,63,2018-06-27,"Edgbaston, Birmingham",Birmingham,England,FALSE,
"Bellerive Oval, Hobart",Hobart,69,731,2022-10-17,"Bellerive Oval, Hobart",Hobart,Australia,FALSE,
Feroz Shah Kotla,Delhi,69,3199,2016-03-26,Feroz Shah Kotla,Delhi,India,FALSE,
"Lord's, London",London,69,3837,2023-07-08,"Lord's, London",London,England,FALSE,
Sydney Cricket Ground,Sydney,69,173,2019-11-03,Sydney Cricket Ground,Sydney,Australia,FALSE,
"Botswana Cricket Association Oval 1, Gaborone",Gaborone,68,2749,2026-03-09,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana,FALSE,
Kennington Oval,London,68,2768,2007-06-28,"Kennington Oval, London",London,England,FALSE,
"Wankhede Stadium, Mumbai",Mumbai,67,1137,2023-01-03,"Wankhede Stadium, Mumbai",Mumbai,India,FALSE,
Melbourne Cricket Ground,Melbourne,66,172,2019-11-01,Melbourne Cricket Ground,Melbourne,Australia,FALSE,
Bellerive Oval,Hobart,64,25,2018-02-07,"Bellerive Oval, Hobart",Hobart,Australia,FALSE,
"National Stadium, Karachi",Karachi,64,711,2021-12-13,National Stadium (Karachi),Karachi,Pakistan,FALSE,
Marsa Sports Club,Marsa,63,498,2021-07-08,Marsa Sports Club,Marsa,Malta,FALSE,
"SuperSport Park, Centurion",Centurion,62,436,2021-04-14,"SuperSport Park, Centurion",Centurion,South Africa,FALSE,
Trent Bridge,Nottingham,62,2822,2009-06-06,"Trent Bridge, Nottingham",Nottingham,England,FALSE,
"Warner Park, Basseterre, St Kitts",Basseterre,62,864,2022-08-01,"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis,FALSE,
"West End Park International Cricket Stadium, Doha",Doha,60,690,2021-10-23,"West End Park International Cricket Stadium, Doha",Doha,Qatar,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"Newlands, Cape Town",Cape Town,58,3845,2023-02-10,"Newlands, Cape Town",Cape Town,South Africa,FALSE,
Perth Stadium,Perth,57,175,2019-11-08,Perth Stadium,Perth,Australia,FALSE,
"County Ground, Hove",Brighton,55,3367,2019-07-28,County Ground (Hove),Hove,England,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"MA Chidambaram Stadium, Chepauk",Chennai,54,143,2018-11-11,"MA Chidambaram Stadium, Chepauk",Chennai,India,FALSE,
"Providence Stadium, Guyana",Providence,54,229,2019-08-06,Providence Stadium,Providence,Guyana,FALSE,
Sharjah Cricket Stadium,,53,3059,2013-11-26,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,FALSE,city filled from sibling rows (Sharjah)
"Basin Reserve, Wellington",Wellington,52,3982,2024-03-27,"Basin Reserve, Wellington",Wellington,New Zealand,FALSE,
Harare Sports Club,Harare,52,449,2021-04-21,Harare Sports Club,Harare,Zimbabwe,FALSE,
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,52,595,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
Old Trafford,Manchester,52,64,2018-07-03,"Old Trafford, Manchester",Manchester,England,FALSE,
The Rose Bowl,Southampton,52,12,2017-06-21,"The Rose Bowl, Southampton",Southampton,England,FALSE,
"Queen's Park Oval, Port of Spain",Trinidad,51,42,2017-03-30,"Queen's Park Oval, Port of Spain",Port of Spain,Trinidad and Tobago,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
Riverside Ground,Chester-le-Street,51,15,2017-09-16,"Riverside Ground, Chester-le-Street",Chester-le-Street,England,FALSE,
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,50,212,2019-12-06,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,FALSE,
Sophia Gardens,Cardiff,50,14,2017-06-25,"Sophia Gardens, Cardiff",Cardiff,Wales,FALSE,
Rawalpindi Cricket Stadium,Rawalpindi,49,1075,2023-04-20,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,FALSE,
"St George's Park, Port Elizabeth",Port Elizabeth,49,12571,2016-11-25,"St George's Park, Gqeberha",Gqeberha,South Africa,FALSE,
"Brisbane Cricket Ground, Woolloongabba",Brisbane,48,121,2018-11-21,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,FALSE,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,47,376,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat,Oman,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
County Ground,Chelmsford,47,3260,2018-07-01,County Ground (Chelmsford),Chelmsford,England,FALSE,"DO: Chelmsford ambiguous venue name across cities ['Bristol', 'Chelmsford', 'Derby', 'Hove', 'Northampton', 'Taunton'] — paren-disambiguate"
Docklands Stadium,Melbourne,47,6605,2016-12-22,"Docklands Stadium, Melbourne",Melbourne,Australia,FALSE,
Entebbe Cricket Oval,Entebbe,47,584,2021-09-11,Entebbe Cricket Oval,Entebbe,Uganda,FALSE,
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,47,1350,2023-12-03,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,FALSE,
Sawai Mansingh Stadium,Jaipur,47,5492,2018-04-11,"Sawai Mansingh Stadium, Jaipur",Jaipur,India,FALSE,
County Ground,Northampton,46,3365,2019-06-21,County Ground (Northampton),Northampton,England,FALSE,"DO: Northampton ambiguous venue name across cities ['Bristol', 'Chelmsford', 'Derby', 'Hove', 'Northampton', 'Taunton'] — paren-disambiguate"
Melbourne Cricket Ground,,46,1,2017-02-17,Melbourne Cricket Ground,Melbourne,Australia,FALSE,city filled from sibling rows (Melbourne)
"The Cooper Associates County Ground, Taunton",Taunton,46,3569,2021-09-09,County Ground (Taunton),Taunton,England,FALSE,
Bayer Uerdingen Cricket Ground,Krefeld,45,508,2021-08-05,Bayer Uerdingen Cricket Ground,Krefeld,Germany,FALSE,
"Eden Gardens, Kolkata",Kolkata,45,615,2021-11-21,"Eden Gardens, Kolkata",Kolkata,India,FALSE,
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,45,1805,2025-01-25,"MA Chidambaram Stadium, Chepauk",Chennai,India,FALSE,
Providence Stadium,Guyana,45,2865,2010-04-30,Providence Stadium,Providence,Guyana,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"Senwes Park, Potchefstroom",Potchefstroom,45,4086,2024-03-30,"Senwes Park, Potchefstroom",Potchefstroom,South Africa,FALSE,
"Boland Park, Paarl",Paarl,44,2159,2026-01-27,"Boland Park, Paarl",Paarl,South Africa,FALSE,
Headingley,Leeds,44,8317,2017-07-07,"Headingley, Leeds",Leeds,England,FALSE,
"Kensington Oval, Bridgetown",Barbados,44,41,2017-03-26,"Kensington Oval, Bridgetown",Bridgetown,Barbados,FALSE,"country unknown — please fill; pre-filled by user, confirmed"
"Arun Jaitley Stadium, Delhi",Delhi,43,622,2022-06-09,"Arun Jaitley Stadium, Delhi",Delhi,India,FALSE,
"Botswana Cricket Association Oval 2, Gaborone",Gaborone,43,3618,2021-09-09,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana,FALSE,
County Ground,Bristol,43,66,2018-07-08,County Ground (Bristol),Bristol,England,FALSE,"DO: Bristol ambiguous venue name across cities ['Bristol', 'Chelmsford', 'Derby', 'Hove', 'Northampton', 'Taunton'] — paren-disambiguate"
"County Ground, Chelmsford",Chelmsford,42,3566,2021-07-14,County Ground (Chelmsford),Chelmsford,England,FALSE,
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,42,1142,2023-02-01,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,FALSE,
